time	x1	x2	x3	v1	v2	a
72400	0.001455743667820945	-0.009851732788622466	0.0	6.657393765923101e-7	9.96834526271033e-8	6.6304633418435346e-12
72500	0.001522317605480176	-0.009841764443359756	0.0	6.650460283289582e-7	1.0416594055245875e-7	6.93348263351794e-12
72600	0.0015888222083130718	-0.009831347849304511	0.0	6.643224118147502e-7	1.0864355020787346e-7	7.236165142079886e-12
72700	0.0016552544494945467	-0.009820483494283723	0.0	6.635685621417714e-7	1.1311607603187647e-7	7.538496729788766e-12
72800	0.0017216113057087238	-0.009809171886680535	0.0	6.62784515813843e-7	1.1758331272593636e-7	7.840463279283996e-12
72900	0.0017878897572901082	-0.009797413555407941	0.0	6.61970310744412e-7	1.2204505526436652e-7	8.14205069430968e-12
73000	0.0018540867883645494	-0.009785209049881505	0.0	6.611259862543683e-7	1.265010989042116e-7	8.443244900437439e-12
73100	0.0019201993869899863	-0.009772558939991084	0.0	6.602515830697896e-7	1.309512391951147e-7	8.74403184578732e-12
73200	0.001986224545296965	-0.009759463816071573	0.0	6.593471433196149e-7	1.353952719891646e-7	9.044397501746798e-12
73300	0.0020521592596289264	-0.009745924288872656	0.0	6.584127105332461e-7	1.3983299345072268e-7	9.344327863687783e-12
73400	0.002118000530682251	-0.009731940989527585	0.0	6.574483296380779e-7	1.4426420006622862e-7	9.643808951681535e-12
73500	0.0021837453636460585	-0.009717514569520962	0.0	6.564540469569567e-7	1.4868868865398468e-7	9.942826811211584e-12
73600	0.0022493907683417544	-0.009702645700655562	0.0	6.554299102055682e-7	1.5310625637391795e-7	1.0241367513884442e-11
73700	0.0023149337593623112	-0.00968733507501817	0.0	6.543759684897543e-7	1.5751670073731972e-7	1.0539417158138143e-11
73800	0.0023803713562112866	-0.009671583404944438	0.0	6.532922723027595e-7	1.6191981961656184e-7	1.0836961869948594e-11
73900	0.0024457005834415627	-0.009655391422982782	0.0	6.521788735224062e-7	1.6631541125478912e-7	1.1133987803533639e-11
74000	0.0025109184707938033	-0.009638759881857303	0.0	6.510358254082007e-7	1.7070327427558776e-7	1.1430481142054752e-11
74100	0.0025760220533346235	-0.009621689554429744	0.0	6.49863182598369e-7	1.7508320769262852e-7	1.1726428098316441e-11
74200	0.0026410083715944603	-0.009604181233660481	0.0	6.486610011068227e-7	1.7945501091928488e-7	1.202181491546319e-11
74300	0.0027058744717051424	-0.009586235732568553	0.0	6.474293383200554e-7	1.838184837782251e-7	1.2316627867673936e-11
74400	0.002770617405537148	-0.00956785388419073	0.0	6.4616825299397e-7	1.8817342651097782e-7	1.2610853260854083e-11
74500	0.002835234230836545	-0.009549036541539633	0.0	6.448778052506375e-7	1.9251963978747088e-7	1.2904477433324958e-11
74600	0.0028997220113616087	-0.009529784577560886	0.0	6.435580565749865e-7	1.968569247155424e-7	1.3197486756510629e-11
74700	0.002964077817019107	-0.009510098885089332	0.0	6.422090698114243e-7	2.0118508285042398e-7	1.3489867635622164e-11
74800	0.0030282987240002495	-0.00948998037680429	0.0	6.408309091603903e-7	2.055039162041954e-7	1.378160651033916e-11
74900	0.0030923818149162885	-0.00946942998518387	0.0	6.394236401748414e-7	2.0981322725521008e-7	1.407268985548855e-11
75000	0.0031563241789337726	-0.009448448662458349	0.0	6.379873297566693e-7	2.1411281895749119e-7	1.436310418172067e-11
75100	0.0032201229119094396	-0.0094270373805626	0.0	6.36522046153051e-7	2.1840249475009746e-7	1.4652836036182507e-11
75200	0.0032837751165247448	-0.00940519713108759	0.0	6.350278589527322e-7	2.2268205856645856e-7	1.494187200318809e-11
75300	0.003347277902420018	-0.009382928925230943	0.0	6.335048390822435e-7	2.269513148436793e-7	1.5230198704885998e-11
75400	0.0034106283863282426	-0.009360233793746574	0.0	6.319530588020512e-7	2.3121006853181228e-7	1.5517802801923938e-11
75500	0.0034738236922084477	-0.009337112786893394	0.0	6.303725917026401e-7	2.3545812510309828e-7	1.5804670994110356e-11
75600	0.0035368609513787117	-0.009313566974383083	0.0	6.287635127005328e-7	2.3969529056117433e-7	1.6090790021072998e-11
75700	0.003599737302648765	-0.009289597445326966	0.0	6.271258980342413e-7	2.439213714502484e-7	1.6376146662914463e-11
75800	0.0036624498924521893	-0.009265205308181942	0.0	6.254598252601549e-7	2.4813617486424073e-7	1.6660727740864632e-11
75900	0.003724995874978205	-0.009240391690695519	0.0	6.237653732483618e-7	2.5233950845589093e-7	1.694452011792997e-11
